Temperature,StrainRate,Direction,BoxSize,YoungsModulus_GPa,R2
100,0.0001,x,10,502.9456090391614,0.979483857538854
100,0.0001,x,12,506.275602745277,0.9875752584982603
100,0.0001,x,8,497.53091549809744,0.9631929111086532
100,0.0001,y,10,503.55818497090263,0.9828234677482672
100,0.0001,y,12,501.99998424222247,0.9893428230019551
100,0.0001,y,8,505.125285181634,0.9683319203631465
100,0.0001,z,10,505.35550727924675,0.9828200920425335
100,0.0001,z,12,505.3705077616612,0.9904264785013335
100,0.0001,z,8,498.67971639295524,0.9690490537102526
100,0.001,x,10,499.21461815010593,0.9988373045827375
100,0.001,x,12,501.28296002851124,0.9995971625916853
100,0.001,x,8,498.2300152148387,0.9984069681214242
100,0.001,y,10,500.67721062201514,0.9990028010813433
100,0.001,y,12,499.31275421915655,0.9995719603099755
100,0.001,y,8,496.55825384866864,0.9984103998852747
100,0.001,z,10,500.31788092835365,0.9989748886741069
100,0.001,z,12,500.0859584046275,0.9995348427289237
100,0.001,z,8,499.62749817593675,0.9984142974206075
100,0.01,x,10,504.0767689563578,0.999932551445262
100,0.01,x,12,508.0058432449164,0.9997597761031183
100,0.01,x,8,512.6673639374945,0.9992271320019559
100,0.01,y,10,505.3166838965238,0.9999588998248242
100,0.01,y,12,507.9136527986903,0.999767700350645
100,0.01,y,8,512.2786940110195,0.9993047472514958
100,0.01,z,10,505.24029793128886,0.9999305362405773
100,0.01,z,12,508.50391976470496,0.9998683353794562
100,0.01,z,8,515.0757257686762,0.9991594488318898
300,0.0001,x,10,513.9601506705078,0.9342426218496515
300,0.0001,x,12,480.90269425773556,0.959699765784573
300,0.0001,x,8,475.61548494825126,0.8634324572930531
300,0.0001,y,10,498.026323678193,0.9219276860951139
300,0.0001,y,12,452.4082895071458,0.9434817233095425
300,0.0001,y,8,471.93070746009545,0.8497668490515877
300,0.0001,z,10,496.56261052639684,0.9202561306184008
300,0.0001,z,12,474.1445915003062,0.9577855135242616
300,0.0001,z,8,502.6648517338577,0.8552352497117258
300,0.001,x,10,476.27256719984945,0.9971969292622145
300,0.001,x,12,486.57826713382576,0.9979144745604323
300,0.001,x,8,477.2133172293047,0.9931180595160538
300,0.001,y,10,475.2357758757219,0.9968788214855063
300,0.001,y,12,478.9215638045122,0.9975309410766124
300,0.001,y,8,484.5511364386216,0.9921611956033073
300,0.001,z,10,474.6967185550253,0.9973371246009662
300,0.001,z,12,479.1475825278707,0.997570569789963
300,0.001,z,8,481.490702394944,0.9942361342498381
300,0.01,x,10,469.4283823944776,0.9990353357369888
300,0.01,x,12,501.97053953431123,0.9995960838100113
300,0.01,x,8,493.5181871150911,0.9994090309993171
300,0.01,y,10,460.6351797618843,0.9978262090974966
300,0.01,y,12,500.7316682854627,0.9993386698786305
300,0.01,y,8,487.4799853325161,0.9991404028196498
300,0.01,z,10,467.24530977404686,0.9986288484826337
300,0.01,z,12,504.2350909471556,0.9997643524442024
300,0.01,z,8,494.6184409304296,0.9988258159425337
600,0.0001,x,10,499.41111539927664,0.8356835980436353
600,0.0001,x,12,446.4278687627353,0.8370352497195745
600,0.0001,x,8,421.3115736392274,0.6012765099320205
600,0.0001,y,10,506.9263027262289,0.8655873900656068
600,0.0001,y,12,439.15769597003975,0.832264433540786
600,0.0001,y,8,414.89169125676705,0.5929914119889399
600,0.0001,z,10,525.7724586240123,0.83856549961653
600,0.0001,z,12,413.5318283828271,0.8224457606611963
600,0.0001,z,8,481.0264954486031,0.6776045209977166
600,0.001,x,10,457.42621406368454,0.9871948697619605
600,0.001,x,12,442.71490524947427,0.9865350709864572
600,0.001,x,8,480.74671607941747,0.9751089841320665
600,0.001,y,10,455.4505403502572,0.9914639980394235
600,0.001,y,12,445.8348194383912,0.9896343526328966
600,0.001,y,8,461.9321953973257,0.9747393840941673
600,0.001,z,10,465.78159638020554,0.9895181616635695
600,0.001,z,12,443.8133220271278,0.991295465818425
600,0.001,z,8,472.9004481868929,0.9767435734032882
600,0.01,x,10,444.32310038816166,0.9935200384767706
600,0.01,x,12,476.947194309479,0.9939175952330864
600,0.01,x,8,461.0451247146597,0.9789871827151435
600,0.01,y,10,406.7019694167806,0.9967706239258171
600,0.01,y,12,482.5464925909544,0.9957962512017539
600,0.01,y,8,423.6754742642576,0.9695761898754832
600,0.01,z,10,417.3306915639376,0.994972385334277
600,0.01,z,12,476.73788770907584,0.9978199154422993
600,0.01,z,8,448.92464370859926,0.9879017857423714
